物件番号,日付,件名,地名地番,住居表示,構造,階数（地上）,階数（地下）,延床面積,敷地面積,建築主,建築主住所,設計者,施工者,着工,完成,備考
10095788,2025/01/28,京都市標識設置情報,京都府京都市右京区西院巽町22ほか,京都府京都市右京区西院巽町,,8 階,階,2421.05 ㎡,487.33 ㎡,新都市企画株式会社,,一級建築士事務所株式会社東洋設計事務所,,,,共同住宅(賃貸、42戸)
10095787,2025/01/28,京都市標識設置情報,京都府京都市左京区松ケ崎小竹藪町26-1,京都府京都市左京区松ケ崎小竹藪町,,3 階,階,997.91 ㎡,1117.3 ㎡,,,大東建託株式会社京都西支店一級建築士事務所,,,,共同住宅(賃貸、15戸)
10095786,2025/01/28,京都市標識設置情報,京都府京都市中京区西ノ京東月光町27,京都府京都市中京区西ノ京東月光町,,3 階,1 階,730.04 ㎡,323.24 ㎡,,,合同会社東耕之一級建築士事務所,,,,共同住宅(賃貸、23戸)
10095714,2025/01/10,(仮称)エスリード福島区吉野2丁目新築工事,大阪府大阪市福島区吉野2-211-1,大阪府大阪市福島区吉野2,鉄筋コンクリート造,14 階,階,1916.7 ㎡,276.79 ㎡,エスリード株式会社,大阪府大阪市福島区福島6-25-19,株式会社イサラ・デザイン,株式会社貫山建設,2025/03/01,2026/09/30,共同住宅
10095712,2025/01/07,(仮称)中央区瓦屋町2丁目PJ新築工事,大阪府大阪市中央区瓦屋町2-70-4ほか,大阪府大阪市中央区瓦屋町2丁目,鉄筋コンクリート造,14 階,階,2849.07 ㎡,423.45 ㎡,株式会社マリモ,広島県広島市西区庚午北1-17-23,一級建築士事務所タット･プラン&T株式会社,タット・プラン工事株式会社,2025/03/17,2026/09/30,共同住宅(店舗付き)
10095711,2025/01/07,(仮称)都島区高倉町1丁目マンション新築工事,大阪府大阪市都島区高倉町1-271,大阪府大阪市都島区高倉町1丁目,鉄筋コンクリート造,10 階,階,1166.22 ㎡,305.08 ㎡,,,株式会社プライム･デザイン,未定,2025/03/31,2026/04/30,共同住宅
10095705,2025/01/27,京都市標識設置情報,京都府京都市中京区聚楽廻南町1-24,京都府京都市中京区聚楽廻南町,,7 階,階,847.07 ㎡,189.19 ㎡,,,合同会社東耕之一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095704,2025/01/27,京都市標識設置情報,京都府京都市左京区田中東春菜町24-4ほか,京都府京都市左京区田中東春菜町,,3 階,階,626.16 ㎡,298.02 ㎡,株式会社ダイマルヤ,,有限会社スペースグラフィティ一級建築士事務所,,,,共同住宅(賃貸、18戸)
10095702,2025/01/23,京都市標識設置情報,京都府京都市山科区大宅御供田町237,京都府京都市山科区大宅御供田町,,10 階,階,1408.21 ㎡,254.6 ㎡,,,有限会社キアラ建築研究機関,,,,共同住宅(賃貸、45戸)
10095701,2025/01/23,京都市標識設置情報,京都府京都市伏見区醍醐高畑町27-1,京都府京都市伏見区醍醐高畑町,,3 階,階,671.59 ㎡,553.17 ㎡,,,株式会社アイプランニングアーキテクトオフィス一級建築士事務所,,,,共同住宅(賃貸、15戸)
